wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
tmA|Matte|Wb V S 307|Matte
tmA|Sack|Wb V S 307|Sack
tmA|Rotte Soldaten|Wb V S 307|Rotte Soldaten
tmAt|Matte|Wb V S 307|Matte
tmAt|Mutter|Wb V S 308|Mutter
tmAwt|[etwas Krankhaftes]|Wb V S 308|[etwas Krankhaftes]
tmAjt|Matte|Wb V S 307|Matte
tmj|[kostbares Material]|Wb V S 306|[kostbares Material]
tmjt|[Krankheit]|Wb V S 306|[Krankheit]
tmjw|schlechte Menschen|Wb V S 302|schlechte Menschen
tmm|verschlie&szlig;en|Wb V S 308|verschliessen
tmm|Wunde (sich unerw&uuml;nscht schlie&szlig;end)|Wb V S 308|Wunde (sich unerwuenscht schliessend)
tmm|Kasten|Wb V S 308|Kasten
tmm|(= {tmw}) Menschheit|Wb V S 308|(= {tmw}) Menschheit
tmmt|Amulettritual|RdE 30 (1978) S 20; Meeks: AL 784583|Amulettritual
tmrgn|[Krieger]|Meeks: AL 774820|[Krieger]
tms|zuwenden jemandem (Gesicht)|Wb V S 308|zuwenden jemandem (Gesicht)
tmtw|etwas mit Pulver bestreuen|Wb V S 309|etwas mit Pulver bestreuen
tmtw|Pulver|Wb V S 309|Pulver
tmtm|zerquetschen (Heilmittel)|Wb V S 309|zerquetschen (Heilmittel)
tmtm|etwas ungeschehen machen|Wb V S 309|etwas ungeschehen machen
tn|diese (pron dem fem sg)|Wb V S 309|diese (pron dem fem sg)
tn|(= {Tn}) (pron suff 2 pl)|Wb V S 310|(= {Tn}) (pron suff 2 pl)
tnt|Speicher, Schober|Meeks: AL 774828|Speicher, Schober
tnw|Korb|Wb V S 310|Korb
tnwjj|[K&ouml;rperteil:] Oberschenkel(?)]|Meeks: AL 784585|[Koerperteil:] Oberschenkel(?)]
tnj|St&auml;nder|Meeks: AL 774824|Staender
tnj|alt werden|Wb V S 310|alt werden
tnj|Alter|Wb V S 310|Alter
tnj|Altersschw&auml;che|Wb V S 310|Altersschwaeche
tnj|stark|Wb V S 310|stark
tnj|[Bezeichnung des K&ouml;nigs im Kampf]|Wb V S 311|[Bezeichnung des Koenigs im Kampf]
tnj|sich messen mit jemandem|Wb V S 311|sich messen mit jemandem
tnj|[Acker]|Wb V S 311|[Acker]
tnj|[Gew&auml;sser im XII - XXII Gau von Ober&auml;gypten]|Wb V S 311|[Gewaesser im XII - XXII Gau von Oberaegypten]
tnw|schwierig sein|Meeks: AL 774827|schwierig sein
tnw|R&uuml;ckenflosse des Synodontis &lt;&lt;s {xnw}&gt;&gt;|Meeks: AL 783029|Rueckenflosse des Synodontis <<s {xnw}>>
tnbX|verwirrt, best&uuml;rzt sein|Wb V S 311|verwirrt, bestuerzt sein
tnm|in Irre gehen|Wb V S 311|in Irre gehen
tnm|Verirrter|Wb V S 312|Verirrter
tnm|Furche|Wb V S 312|Furche
tnm|Schmutz|Wb V S 312|Schmutz
tnm|[Pflanze aus Wadi Natrun]|Wb V S 312|[Pflanze aus Wadi Natrun]
tnm|[Bezeichnung f&uuml;r Bier]|Wb V S 312|[Bezeichnung fuer Bier]
tnmj|[Totenrichter]|Wb V S 312|[Totenrichter]
tnmjt|[G&ouml;ttin]|Wb V S 312|[Goettin]
tnmw|[Urgott]|Meeks: AL 784590|[Urgott]
tnn|M&ouml;bel|Wb V S 312|Moebel
tnnw|[Gew&auml;sser]|Wb V S 313|[Gewaesser]
tnhr|[Kasten]|Wb V S 313|[Kasten]
tntj|[Baum]|Wb V S 313|[Baum]
tntm|[offizinell Verwendetes]|Wb V S 313|[offizinell Verwendetes]
tnT|[Vogel]|Wb V S 313|[Vogel]
tr|[kleines Grundst&uuml;ck]|Wb V S 313|[kleines Grundstueck]
tr|Speisen|Wb V S 313|Speisen
tr|Zeit|Wb V S 314|Zeit
tr|bestimmt sein zu etwas|Wb V S 316|bestimmt sein zu etwas
tr|(enkl Part)|Wb V S 316|(enkl Part)
tr|Schlechtes, Unreines|Wb V S 317|Schlechtes, Unreines
tr|Horn|Wb V S 317|Horn
trwj|Tag und Nacht|Wb V S 316|Tag und Nacht
tr-n-xAwj|abends|Wb III S 226|abends
trj|[ehrendes Beiwort des K&ouml;nigs]|Wb V S 317|[ehrendes Beiwort des Koenigs]
trj|ehren|Wb V S 318|ehren
trj|Geachteter|Wb V S 318|Geachteter
trj|(= {twr}) jemanden abweisen|Wb V S 318|(= {twr}) jemanden abweisen
trj|R&ouml;hricht|Wb V S 318|Roehricht
trj|T&uuml;r, Tor|Wb V S 318|Tuer, Tor
trjt|Schlechtes, B&ouml;ses|Wb V S 317|Schlechtes, Boeses
trwt|L&uuml;sternheit(?)|Meeks: AL 784593|Luesternheit(?)
trr|Ofen (des B&auml;ckers)|Wb V S 318|Ofen (des Baeckers)
trr|wettlaufen|Wb V S 319|wettlaufen
trr|schm&auml;hende Bezeichnung des Apophis|Wb V S 319|schmaehende Bezeichnung des Apophis
trHt|[Paste, die beim Figurengu&szlig; benutzt wird]|RdE 29 (1977) S 13; Meeks: AL 774839|[Paste, die beim Figurenguss benutzt wird]
trsst|Brot, Kuchen; Brotration|RdE 29 (1977) S 13; Meeks: AL 774840|Brot, Kuchen; Brotration
th|Frevel|Wb V S 321|Frevel
thw|Frevler|Wb V S 320|Frevler
thj|&uuml;bertreten, freveln|Wb V S 319|uebertreten, freveln
thj-mTn|jemandem untreu werden|Wb V S 320|jemandem untreu werden
thj-mTn|&Uuml;bertreter|Wb V S 320|Uebertreter
thj-nw|Zeit verpassen|Wb II S 219|Zeit verpassen
thb|&lt;&lt;in: {thb-wr} [Gott]&gt;&gt;]|Meeks: AL 784596|<<in: {thb-wr} [Gott]>>]
thbw|Eindickung eines Heilmittels|Wb V S 321|Eindickung eines Heilmittels
thm|durchsto&szlig;en sein (Wunde)|Wb V S 321|durchstossen sein (Wunde)
thm|Loch|Wb V S 322|Loch
thm|r&uuml;hren (im Kessel)|Wb V S 322|ruehren (im Kessel)
thm|etwas kochen|Wb V S 322|etwas kochen
thm|bew&auml;ssern|Wb V S 322|bewaessern
thm|[Gew&auml;sser im VII und XX Gau von Ober&auml;gypten]|Wb V S 322|[Gewaesser im VII und XX Gau von Oberaegypten]
thm-xrwj|Feindseligkeit erregen|Wb V S 321|Feindseligkeit erregen
thm(w)|[gro&szlig;es Gef&auml;&szlig;] Cerny: CED S 204|; Meeks: AL 774844|[grosses Gefaess] Cerny: CED S 204
thr|asiatische Krieger|Wb V S 322|asiatische Krieger
thr|Ofen|Wb V S 322|Ofen
tHA|[Werkzeug:] S&auml;ge(?)]|Simpson: P Reisner II S 37; RdE 29 (1977) S 13; Meeks: AL 774845|[Werkzeug:] Saege(?)]
tHs|zermalmend|Wb V S 323|zermalmend
tx|Lot der Waage|Wb V S 323|Lot der Waage
tx|sich betrinken, betrunken sein|Wb V S 323|sich betrinken, betrunken sein
tx|Rauschtrank|Wb V S 325|Rauschtrank
tx|fett, gem&auml;stet|Wb V S 325|fett, gemaestet
tx|[Bezeichnung f&uuml;r Thot]|Wb V S 325|[Bezeichnung fuer Thot]
txt|Trunkenheit|Wb V S 324|Trunkenheit
txw|Trinker|Wb V S 325|Trinker
txw|[wohlriechende Pflanze]|Wb V S 325|[wohlriechende Pflanze]
txAtxA|b&ouml;se (von G&ouml;ttern)|Wb V S 325|boese (von Goettern)
txj|zur Gen&uuml;ge trinken|Wb V S 323|zur Genuege trinken
txw|[Gew&auml;sser]|Wb V S 325|[Gewaesser]
txb|eintauchen|Wb V S 326|eintauchen
txb|Geschwulstblase|Wb V S 326|Geschwulstblase
txbst|Sack, Korb|Wb V S 326|Sack, Korb
txn|Obelisk|Wb V S 326|Obelisk
txn|Ibis|Wb V S 326|Ibis
txn|Verletzung (des Auges)|Wb V S 327|Verletzung (des Auges)
txn|verbergen|Wb V S 327|verbergen
txn|besch&uuml;tzen|Wb V S 327|beschuetzen
txn|eintreten, betreten|Meeks: AL 784603|eintreten, betreten
txn|hohe Statue(?)|Meeks: AL 774856|hohe Statue(?)
txn|T&uuml;r, T&uuml;rfl&uuml;gel|Meeks: AL 784604|Tuer, Tuerfluegel
txnj|sch&auml;digen, verletzen|Wb V S 327|schaedigen, verletzen
txnxn|Fl&uuml;gel breiten &uuml;ber jemanden|Wb V S 328|Fluegel breiten ueber jemanden
txr|[lederner Teil des Wagens]|Wb V S 328|[lederner Teil des Wagens]
txs|schlachten, zerlegen|Wb V S 328|schlachten, zerlegen
txtr|D&uuml;ne(?)|Meeks: AL 793436|Duene(?)
txtx|verwirren,verworren sein|Wb V S 328|verwirren,verworren sein
txtx|strotzen (vom Euter)|Wb V S 328|strotzen (vom Euter)
tXrjj|Exkrement|RdE 29 (1977) S 13|Exkrement
ts|[Brot]|Wb V S 328|[Brot]
tsm|[kleines Schiff]|Wb V S 328|[kleines Schiff]
tS|(= {tAS}) abgrenzen|Wb V S 328|(= {tAS}) abgrenzen
tS|streitlustig sein|Wb V S 329|streitlustig sein
tS|(= {tSA}) zerquetschen|Wb V S 329|(= {tSA}) zerquetschen
tSw|Ausgewanderte|Wb V S 329|Ausgewanderte
tS-Hn|[Bezeichnung f&uuml;r den Stier]|Wb III S 100|[Bezeichnung fuer den Stier]
tSA|zerquetschen (Korn)|Wb V S 329|zerquetschen (Korn)
tSA|spalten|Wb V S 329|spalten
tSj|fortgehen|Wb V S 328|fortgehen
tSj|[Gestein bei Elephantine]|Wb V S 330|[Gestein bei Elephantine]
tSb|spalten|Wb V S 330|spalten
tSmm|[Bezeichnung f&uuml;r Krokodile]|Wb V S 330|[Bezeichnung fuer Krokodile]
tSn|Topf|Wb V S 330|Topf
tStS|zerdr&uuml;cken, zerquetschen|Wb V S 330|zerdruecken, zerquetschen
tStS|[g&ouml;ttliches Wesen]|Wb V S 330|[goettliches Wesen]
tStS|[gefl&uuml;geltes Fabelwesen]|Wb V S 330|[gefluegeltes Fabelwesen]
tqr|gewaltig|Wb V S 330|gewaltig
tqr|Anteil (an Beute)|Wb V S 331|Anteil (an Beute)
tqs|durchbohren|Wb V S 331|durchbohren
tkw|[Berufsbezeichnung]|Wb V S 331|[Berufsbezeichnung]
tkA|verbrennen|Wb V S 332|verbrennen
tkAw|Flamme|Wb V S 331|Flamme
tkA-jb|[gute Eigenschaft eines Beamten]|Wb V S 330|[gute Eigenschaft eines Beamten]
tkA-Hr|[Schlange]|Wb V S 333|[Schlange]
tkAjt|[Name einer Schlange]|Wb V S 333|[Name einer Schlange]
tkAt|Beleuchtung, Erleuchtung, Erleuchten|RdE 30 (1978) S 20; Meeks: AL 774869; Meeks: AL 784610|Beleuchtung, Erleuchtung, Erleuchten
tkm|[g&ouml;ttliches Wesen]|Wb V S 333|[goettliches Wesen]
tkn|nahe sein, nahe kommen|Wb V S 333|nahe sein, nahe kommen
tknw|Menschenopfer (beim Kult)|Wb V S 335|Menschenopfer (beim Kult)
tkr|&Uuml;bertreter|Wb V S 335|Uebertreter
tks|erreichen (Ort)|Wb V S 335|erreichen (Ort)
tks|foltern|Wb V S 335|foltern
tkSS|jemanden treten|Wb V S 336|jemanden treten
tkk|angreifen|Wb V S 336|angreifen
tkk|Angreifer|Wb V S 336|Angreifer
tkkt|Schlupfwespe|Wb V S 336|Schlupfwespe
tktk|angreifen|Wb V S 336|angreifen
tktk|Angreifer|Wb V S 336|Angreifer
tgr|Ring (als Halsschmuck)|Wb V S 337|Ring (als Halsschmuck)
T|Seil mit 2 &Ouml;sen|Wb V S 337|Seil mit 2 Oesen
T|[Beischrift zu einem Mann mit Zeugstreifen]|Wb V S 337|[Beischrift zu einem Mann mit Zeugstreifen]
T|&lt;&lt;Endung des Pseudopartizips 3 Sgl f (= {ti})&gt;&gt;|Meeks: AL 774737; Meeks: AL 784520; Meeks: AL 793356|<<Endung des Pseudopartizips 3 Sgl f (= {ti})>>
T|&lt;&lt;Wechsel mit {k}&gt;&gt;|Meeks: AL 774875|<<Wechsel mit {k}>>
Tt|Leute|Wb V S 338|Leute
Tt|Schreiberschaft|Wb V S 338|Schreiberschaft
Tt|B&uuml;cher|Wb V S 338|Buecher
Tt|Speisentisch|Wb V S 338|Speisentisch
Tt|(in unklarem Zusammenhang)|Wb V S 339|(in unklarem Zusammenhang)
Tt|[Holzwerk f&uuml;r ein Schiff]|Wb V S 339|[Holzwerk fuer ein Schiff]
Tt|[K&ouml;rperteil:] Scham(?)]|Meeks: AL 784620|[Koerperteil:] Scham(?)]
Tt|&lt;&lt;in: {Tt prt-xrw} &quot;Tr&auml;gerin(?) von Totenopfergaben&quot;&gt;&gt;|Meeks: AL 793445|<<in: {Tt prt-xrw} "Traegerin(?) von Totenopfergaben">>
T|[Titel]|Ward: In: Z&Auml;S 107|[Titel]
T m|es aufnehmen mit|Blinding of Truth 52|es aufnehmen mit
T n|von an|Cerny: CED S 315|von an
TA|junger Vogel|Wb V S 339|junger Vogel
TA|K&uuml;gelchen|Wb V S 341|Kuegelchen
TA|Kleid|Wb V S 342|Kleid
TA|Holz f&uuml;r Peitschen|Wb V S 342|Holz fuer Peitschen
TA|anma&szlig;end|Wb V S 342|anmassend
TA|[vom Zurechtmachen eines verwahrlosten Wanderers]|Wb V S 349|[vom Zurechtmachen eines verwahrlosten Wanderers]
TA|[Teil des Wagens]|Wb V S 349|[Teil des Wagens]
TA|&lt;&lt;in: {TA-ib}&gt;&gt; &quot;f&auml;hig, imstande&quot;|Meeks: AL 784630|<<in: {TA-ib}>> "faehig, imstande"
TAt|[in Verbindung mit Brauerei]|Wb V S 343|[in Verbindung mit Brauerei]
TAt|[Gef&auml;&szlig;]|Wb V S 343|[Gefaess]
TAt|[Frauentitel]|Wb V S 343|[Frauentitel]
TAt|W&uuml;rde|Wb V S 343|Wuerde
TAt|[in Verbindung mit Flachs]|Wb V S 343|[in Verbindung mit Flachs]
TAt|Besitz an Leuten|Wb V S 343|Besitz an Leuten
TAtj|Vezier|Wb V S 343|Vezier
TAtt|Vezierin|Wb V S 344|Vezierin
TAw|[im Zauber (pl)]|Wb V S 342|[im Zauber (pl)]
TAw|[Spiel]|Wb V S 343|[Spiel]
TAw|[Pflanze]|Wb V S 353|[Pflanze]
TAwj|[Bezeichnung des Horus]|Wb V S 341|[Bezeichnung des Horus]
TAwj|junges Krokodil|Wb V S 341|junges Krokodil
TA-jb|[gute Eigenschaft]|Wb V S 342|[gute Eigenschaft]
TA-mDAt|Bildhauer|Wb II S 188|Bildhauer
TA-nfr|[Stern]|Wb V S 342|[Stern]
TA-rw|L&ouml;we|Wb V S 342|Loewe
TA-rmn|[Gef&auml;&szlig;]|Wb V S 342|[Gefaess]
TA-xaw|Waffentr&auml;ger|Wb III S 243|Waffentraeger
TA-sp=f|[Gott]|Wb V S 342|[Gott]
TAj|&lt;&lt;in: {(m) TAi n} &quot;seit&quot;&gt;&gt;|Meeks: AL 774885|<<in: {(m) TAi n} "seit">>
TAj|Mann|Wb V S 344|Mann
TAj|m&auml;nnlich|Wb V S 345|maennlich
TAj|nehmen|Wb V S 346|nehmen
TAj|Tr&auml;ger|Wb V S 348|Traeger
TAj|tadeln|Wb V S 348|tadeln
TAj|Vorwurf, Tadel|Wb V S 349|Vorwurf, Tadel
TAj|Beh&auml;lter f&uuml;r Speisen|Wb V S 349|Behaelter fuer Speisen
TAjj|Dieb, R&auml;uber|Meeks: AL 774892|Dieb, Raeuber
TAjjt|Pinzette|Meeks: AL 774887; Meeks: AL 793455|Pinzette
TAj (wnwt)|Stunde|Meeks: AL 774886|Stunde
TAjjt-jrt|Pinzette zum Enthaaren|Meeks: AL 793455|Pinzette zum Enthaaren
TAj-wAt|den Weg weisen|Wb V S 347|den Weg weisen
TAj-bAk|Lohn|Wb I S 428|Lohn
TAj-bsnt|Metallarbeiter|Wb I S 477|Metallarbeiter
TAj-bSA|Steinmetz|Wb I S 478|Steinmetz
TAj-pDt|Bogentr&auml;ger|Wb I S 569|Bogentraeger
TAj-hh|Bestes der Saat wegnehmen|Wb II S 502|Bestes der Saat wegnehmen
TAj-xw|Wedeltr&auml;ger|Wb III S 246|Wedeltraeger
TAj-srjt|Standartentr&auml;ger|Wb IV S 192|Standartentraeger
TAj-sdd|Zittern bekommen|Wb V S 346|Zittern bekommen
TAj-drf|Textsammlung|Wb V S 348|Textsammlung
TAw|[Titel]|Wb V S 349|[Titel]
TAw|Buch|Wb V S 349|Buch
TAw|stehlen|Wb V S 350|stehlen
TAw|Luft|Wb V S 350|Luft
TAw|[als Beischrift zu Gegenst&auml;nden]|Wb V S 353|[als Beischrift zu Gegenstaenden]
TAwt|Wiedererstattungswert f&uuml;r Gestohlenes|Wb V S 350|Wiedererstattungswert fuer Gestohlenes
TAwt|Segel|Wb V S 353|Segel
TAwt|[etwas Unrechtes]|Wb V S 353|[etwas Unrechtes]
TAwt|[Ger&auml;t aus Holz]|Wb V S 353|[Geraet aus Holz]
TAwt|(= {twAt}) &Ouml;l|Wb V S 353|(= {twAt}) Oel
TAwrrw|Krankheit|RdE 29 (1977) S 13|Krankheit
TAb|[Gef&auml;&szlig;]|Wb V S 354|[Gefaess]
TAbt|Getreidedarlehn|Wb V S 354|Getreidedarlehn
TAbb|&Auml;hre|Wb V S 354|Aehre
TAm|sich verh&uuml;llen|Wb V S 354|sich verhuellen
TAm|Binde (nicht med)|Wb V S 354|Binde (nicht med)
TAm|Vorhaut|Wb V S 354|Vorhaut
TAm|L&ouml;we (Bezeichnung des Horus)|Wb V S 355|Loewe (Bezeichnung des Horus)
TAm|?|Meeks: AL 793461|?
TAmt|Nachsicht|Wb V S 354|Nachsicht
TAms|essen, verzehren|Wb V S 355|essen, verzehren
TAr|sich auf jemanden st&uuml;rzen (Krokodil)|Wb V S 355|sich auf jemanden stuerzen (Krokodil)
TAr|[Handlung des K&ouml;nigs bei Thronbesteigung]|Wb V S 355|[Handlung des Koenigs bei Thronbesteigung]
TAr|sch&uuml;tzen|Wb V S 355|schuetzen
TAr|[von guter Herrichtung der Kopfst&uuml;tzen]|Wb V S 355|[von guter Herrichtung der Kopfstuetzen]
TAr|[bildlich von Verwahrungsstelle der Speisen]|Wb V S 356|[bildlich von Verwahrungsstelle der Speisen]
TAr|[Gew&auml;sser im XVII Gau von Unter&auml;gypten]|Wb V S 356|[Gewaesser im XVII Gau von Unteraegypten]
TArt|[bei Leichenfahrt im Schiff]|Wb V S 356|[bei Leichenfahrt im Schiff]
TArt|Festung|Wb V S 356|Festung
TArw|[&auml;gyptische Grenzfestung gegen Asien]|Wb V S 355|[aegyptische Grenzfestung gegen Asien]
TArt|Kaj&uuml;te &lt;&lt;u&auml;&gt;&gt;|In: BES 1 S 29 - 40|Kajuete <<uae>>
TArt|Silo, Getreidespeicher|RdE 30 (1978) S 20|Silo, Getreidespeicher
TAgw|[Nutzholz aus Asien]|Wb V S 356|[Nutzholz aus Asien]
TATA|[Substantiv]|Meeks: AL 784640|[Substantiv]
TATAjt|[Bezeichnung des Sonnengottes]|Wb V S 356|[Bezeichnung des Sonnengottes]
Tjf|sich davon machen|Wb V S 357|sich davon machen
Tjjn|[Substantiv]|Meeks: AL 793463|[Substantiv]
Tjs|kneten|Wb V S 357|kneten
Tjst|Flamme|Meeks: AL 784641|Flamme
Tjt|[Verb]|Meeks: AL 784642|[Verb]
Tjt|[Blume]|Wb V S 357|[Blume]
TjT|&lt;&lt;wohl = {=T}&gt;&gt;|Meeks: AL 784644|<<wohl = {=T}>>
TjTj|stampfen (von Pferd)|Wb V S 357|stampfen (von Pferd)
TjTj|[Bezeichnung der Beine]|Wb V S 357|[Bezeichnung der Beine]
Tar|[Ma&szlig;einheit]|Ali, M S: In: GM 131 (1992) S 7 - 10|[Masseinheit]
Tw|du (pron abs 2masc sg)|Wb V S 357|du (pron abs 2masc sg)
Tw|(= {tw}) diese (pron dem sg fem)|Wb V S 359|(= {tw}) diese (pron dem sg fem)
Twt|Anteil|Wb V S 359|Anteil
Twt|die Augen|Meeks: AL 784650|die Augen
Twtjj|Inneres|Meeks: AL 784649|Inneres
TwA|Widerstand|Wb V S 359|Widerstand
Twjt|Krone|Wb V S 359|Krone
Twfj|Papyruspflanze|Wb V S 359|Papyruspflanze
Twn|sto&szlig;en|Wb V S 359|stossen
Twn|[Krankheitserscheinung am Rindernacken]|Wb V S 359|[Krankheitserscheinung am Rindernacken]
Twn|Zuwendung|Wb V S 360|Zuwendung
Twn|belohnen|Wb V S 360|belohnen
Twnw|Kampfstier|Wb V S 359|Kampfstier
Twnw|Unterschied|Wb V S 360|Unterschied
Twnw|[Gew&auml;sser in Ober&auml;gypten]|Wb V S 360|[Gewaesser in Oberaegypten]
Twt|du (pron abs 2 fem sg)|Wb V S 360|du (pron abs 2 fem sg)
TwTkn|[offizinell Verwendetes]|Wb V S 360|[offizinell Verwendetes]
Tb|Kasten (f&uuml;r V&ouml;gel)|Wb V S 360|Kasten (fuer Voegel)
Tb|Kalb|Wb V S 361|Kalb
Tb|beschuht sein|Wb V S 363|beschuht sein
Tbt|Keule|Wb V S 360|Keule
Tbt|Sohle|Wb V S 361|Sohle
Tbw|Sohle|Wb V S 361|Sohle
Tbw|Sandalenmacher|Wb V S 363|Sandalenmacher
Tbw|(= {TAb}) [Gef&auml;&szlig;]|Wb V S 364|(= {TAb}) [Gefaess]
Tbwj|Sandalen|Wb V S 361|Sandalen
Tbwt|Sohle|Wb V S 361|Sohle
Tbwt|[Schiffsteil]|Wb V S 363|[Schiffsteil]
Tbwt|Sohle(?), Weg(?)|Meeks: AL 784660|Sohle(?), Weg(?)
Tbb|zermalmen|Wb V S 364|zermalmen
Tbn|eilen|Wb V S 364|eilen
TbhA|[Gottheit]|Meeks: AL 784663|[Gottheit]
Tbhn|springen|Wb V S 364|springen
TbTb|trommeln|Wb V S 364|trommeln
Tpnt|[Gewebe]|Wb V S 364|[Gewebe]
Tpnpn|sich freuen|Wb V S 364|sich freuen
Tpr|Schreiber|Wb V S 364|Schreiber
TprT|Streitwagen (der Hettiter)|Wb V S 364|Streitwagen (der Hettiter)
TpHt|Loch im Boden, H&ouml;hle|Wb V S 364|Loch im Boden, Hoehle
Tpg|Kaserne|Wb V S 366|Kaserne
Tpt|[berauschendes Getr&auml;nk]|Wb V S 366|[berauschendes Getraenk]
TpTt|[Teil des Auges(?)]|Meeks: AL 784666|[Teil des Auges(?)]
Tf|verbrennen (trans)|Wb V S 366|verbrennen (trans)
Tf|da, w&auml;hrend|Meeks: AL 774909|da, waehrend
Tfrr|gewaltig|Wb V S 366|gewaltig
Tft|(Verbum)|Wb V S 366|(Verbum)
Tft|Kapelle(?)|RdE 30 (1978) S 20|Kapelle(?)
Tftn|(trans Verbum)|Wb V S 366|(trans Verbum)
TfT|(Verbum)|Wb V S 366|(Verbum)
TfTf|tropfen lassen(?)|Cerny: CED S 44|tropfen lassen(?)
TfTft|[Ackerland]|Wb V S 366|[Ackerland]
Tm|du (pron abs 2 fem sg)|Wb V S 367|du (pron abs 2 fem sg)
Tm|Augen niederschlagen|Wb V S 367|Augen niederschlagen
Tm|meinen|Meeks: AL 784669|meinen
TmA|kr&auml;ftig (Arm)|Wb V S 367|kraeftig (Arm)
TmA|[Verb]|Meeks: AL 784672|[Verb]
TmAt|[Dekansternbild]|Wb V S 368|[Dekansternbild]
TmA-a|mit kr&auml;ftigem Arm|Wb V S 367|mit kraeftigem Arm
Tmw|Tr&auml;nen, Leiden|Meeks: AL 774913|Traenen, Leiden
TmH|Libyer|Wb V S 368|Libyer
TmH|[Eigenschaft des Herzens]|Wb V S 369|[Eigenschaft des Herzens]
TmHt|[Landbezeichnung]|Wb V S 369|[Landbezeichnung]
TmHj|[kostbarer Stein aus Nubien]|Wb V S 369|[kostbarer Stein aus Nubien]
Tms|etwas vergraben|Wb V S 369|etwas vergraben
Tms|rot|Wb V S 369|rot
Tms|Rotf&auml;rbung, R&ouml;te (krankhaft)|Wb V S 369|Rotfaerbung, Roete (krankhaft)
Tms|[Teil eines Geb&auml;udes]|Wb V S 370|[Teil eines Gebaeudes]
Tmst|rotgef&auml;rbter Stoff|Wb V S 369|rotgefaerbter Stoff
Tmsw|B&ouml;ses|Wb V S 370|Boeses
Tms-n-xntt|[Dekan]|Wb III S 307|[Dekan]
Tmsst|[Gegenstand]|Wb V S 370|[Gegenstand]
Tmqn|[Krankheitsd&auml;mon]|Wb V S 370|[Krankheitsdaemon]
TmT|(Verbum)|Wb V S 371|(Verbum)
TmTm|[Beh&auml;lter oder Ma&szlig; f&uuml;r Kuchen]|Wb V S 371|[Behaelter oder Mass fuer Kuchen]
Tn|du (pron abs 2 fem sg)|Wb V S 371|du (pron abs 2 fem sg)
Tn|ihr (abh pron 2 pl)|Wb V S 371|ihr (abh pron 2 pl)
Tn|Grenzmark, Ufergebirge|Wb V S 372|Grenzmark, Ufergebirge
Tn|[Titel]|Wb V S 372|[Titel]
Tn|This|Wb V S 372|This
Tnt|Unterschied|Wb V S 376|Unterschied
Tnt|Milchfrau(?)|Meeks: AL 774926|Milchfrau(?)
Tntt|[heilige K&uuml;he der Hathor]|Wb V S 376|[heilige Kuehe der Hathor]
Tnj|ihr beide (Pron suff 2 dual)|Wb V S 372|ihr beide (Pron suff 2 dual)
Tnj|[Stadt This (VIII Gau von Ober&auml;gypten)]|Wb V S 372|[Stadt This (VIII Gau von Oberaegypten)]
Tnj|wo?|Wb V S 373|wo?
Tnj|erheben|Wb V S 374|erheben
Tnj|Ehre|Wb V S 380|Ehre
Tnj|[Napf oder Schale]|Wb V S 380|[Napf oder Schale]
Tnj|schwach werden|Wb V S 380|schwach werden
Tnj|(Verbum unklarer Bedeutung)|Wb V S 381|(Verbum unklarer Bedeutung)
Tn(j)|abschneiden, markieren(?)|Meeks: AL 784678; Meeks: AL 793475|abschneiden, markieren(?)
Tnw|Erhabenheit|Wb V S 375|Erhabenheit
Tnw|z&auml;hlen|Wb V S 376|zaehlen
Tnw|Zahl|Wb V S 376|Zahl
Tnw|jedesmal, wenn|Wb V S 377|jedesmal, wenn
Tnwt|Z&auml;hlung|Wb V S 379|Zaehlung
Tnwt|[Bezeichnung f&uuml;r Rinder]|Wb V S 379|[Bezeichnung fuer Rinder]
Tnwt|[Fest]|Wb V S 379|[Fest]
Tnw-rnpt|allj&auml;hrlich|Wb V S 378|alljaehrlich
Tnf|trinken (bei Gelage)|Wb V S 380|trinken (bei Gelage)
Tnf|Gewicht|Wb V S 381|Gewicht
Tnf|Sack|Meeks: AL 774936|Sack
Tnf|messen, veranschlagen|Meeks: AL 774937|messen, veranschlagen
Tnf|(im &Uuml;berflu&szlig;) gie&szlig;en / haben|Meeks: AL 793483|(im Ueberfluss) giessen / haben
Tnft|[Gef&auml;&szlig;]|Wb V S 381|[Gefaess]
Tnfjt|Beutel|Wb V S 380|Beutel
Tnm|Kessel|Wb V S 381|Kessel
Tnm|[Fl&uuml;ssigkeit]|Wb V S 381|[Fluessigkeit]
Tnm|[Gott]|Wb V S 381|[Gott]
Tnm(t)|Bottich(?), Kessel(?)|Meeks: AL 793485|Bottich(?), Kessel(?)
Tnmw|K&ouml;che (des Jenseits)|Meeks: AL 784693|Koeche (des Jenseits)
Tnn|Brett|Wb V S 381|Brett
Tnnt|[G&ouml;ttin von Hermonthis]|Wb V S 381|[Goettin von Hermonthis]
Tnnt|[memphitisches Heiligtum]|Wb V S 382|[memphitisches Heiligtum]
Tnn?Ajj|[Gef&auml;&szlig;]|Meeks: AL 784997|[Gefaess]
Tnr|stark, t&uuml;chtig|Wb V S 382|stark, tuechtig
Tnr|Starker|Wb V S 383|Starker
Tnr|Kraft, St&auml;rke|Wb V S 383|Kraft, Staerke
Tnr|[Ort, wo Kraut w&auml;chst]|Wb V S 384|[Ort, wo Kraut waechst]
